benchmark,run,result
collatz,baseline,169
collatz,ssa,187
collatz,licm,187
loopfact,baseline,116
loopfact,ssa,135
loopfact,licm,135
sqrt,baseline,322
sqrt,ssa,360
sqrt,licm,360
euclid,baseline,563
euclid,ssa,689
euclid,licm,689
sum-bits,baseline,73
sum-bits,ssa,100
sum-bits,licm,100
fizz-buzz,baseline,3652
fizz-buzz,ssa,3755
fizz-buzz,licm,3755
sieve,baseline,3482
sieve,ssa,4330
sieve,licm,4330
digital-root,baseline,248
digital-root,ssa,306
digital-root,licm,306
orders,baseline,5352
orders,ssa,7440
orders,licm,7440
gcd,baseline,46
gcd,ssa,63
gcd,licm,63
sum-sq-diff,baseline,3039
sum-sq-diff,ssa,3446
sum-sq-diff,licm,3246
mat-mul,baseline,1990407
mat-mul,ssa,2408082
mat-mul,licm,2408082
eight-queens,baseline,1006454
eight-queens,ssa,1146021
eight-queens,licm,1146021
ackermann,baseline,1464231
ackermann,ssa,1808699
ackermann,licm,1808699
quadratic,baseline,785
quadratic,ssa,837
quadratic,licm,795
perfect,baseline,233
perfect,ssa,300
perfect,licm,300
check-primes,baseline,8468
check-primes,ssa,8933
check-primes,licm,8568
fib,baseline,121
fib,ssa,158
fib,licm,158
recfact,baseline,104
recfact,ssa,113
recfact,licm,113
pythagorean_triple,baseline,61518
pythagorean_triple,ssa,69271
pythagorean_triple,licm,61645
binary-fmt,baseline,100
binary-fmt,ssa,135
binary-fmt,licm,135
