                baseline   ssa  licm
        collatz    1.000 1.107 1.107
       loopfact    1.000 1.164 1.164
           sqrt    1.000 1.118 1.118
         euclid    1.000 1.224 1.224
       sum-bits    1.000 1.370 1.370
      fizz-buzz    1.000 1.028 1.028
          sieve    1.000 1.244 1.244
   digital-root    1.000 1.234 1.234
         orders    1.000 1.390 1.390
            gcd    1.000 1.370 1.370
    sum-sq-diff    1.000 1.134 1.068
        mat-mul    1.000 1.210 1.210
   eight-queens    1.000 1.139 1.139
      ackermann    1.000 1.235 1.235
      quadratic    1.000 1.066 1.013
        perfect    1.000 1.288 1.288
   check-primes    1.000 1.055 1.012
            fib    1.000 1.306 1.306
        recfact    1.000 1.087 1.087
pythagorean_triple 1.000 1.126 1.002
     binary-fmt    1.000 1.350 1.350

mean(arith):       1.000 1.202 1.189
median:            1.000 1.210 1.210
min:               1.000 1.028 1.002
max:               1.000 1.390 1.390
var(sam):          0.000 0.013 0.016
std-dev:           0.000 0.112 0.128
skew:              0.000 -0.210 -0.504
